,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル2,開催日,対象,申込受付状況,詳細(PDF名)
1,24_86,"● 実践！整理術で仕事力をUPする
今すぐ、役立てる「整活術」
 ～求職者・新入社員向け～
 講師：佐藤亮介氏（ロハスカタス）
 会場：真庭市市民活動支援プラザ",ロハスカタス,http://lohaskatas.com/,,,"①　整理の基本、
 　　できるビジネスマン","6/20(水)
10：00-12：00","求職者
就業者","終了
",24-seiri2H.pdf
1,24_87,"● 実践！整理術で仕事力をUPする
今すぐ、役立てる「整活術」
 ～求職者・新入社員向け～
 講師：佐藤亮介氏（ロハスカタス）
 会場：真庭市市民活動支援プラザ",ロハスカタス,http://lohaskatas.com/,,,"②　収納の応用、実例、
 　　机の上の配置、ファイリング　他","7/11(水)
10：00-12：00","求職者
就業者","終了
",24-seiri2H.pdf
1,24_88,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"①　健康的な野菜って？
 病害虫に負けない植物づくり、
 心配ごとの相談　他",6/22(金),"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_89,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"①　健康的な野菜って？
 病害虫に負けない植物づくり、
 心配ごとの相談　他",6/23（土）,"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_90,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"②　現地講習（１）生育診断
 有効微生物、病害虫防除、
 追肥などの管理　他",7/28(土),"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_91,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"②　現地講習（１）生育診断
 有効微生物、病害虫防除、
 追肥などの管理　他",7/29(日),"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_92,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"③　現地講（２）収穫期・収穫前
 来期に向けての土壌診断と施肥設計　他",8/25(土),"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_93,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"③　現地講（２）収穫期・収穫前
 来期に向けての土壌診断と施肥設計　他",8/26(日）,"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_94,"●　有機栽培セミナー
 講師：小祝政明氏（ジャパンバイオファーム）
 会場：真庭市役所本庁舎、蒜山振興局　他
※「水稲」「果樹」「野菜」
 　　３つの専門コースがあります。",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"③　現地講（２）収穫期・収穫前
 来期に向けての土壌診断と施肥設計　他",8/27(月),"事業主
就業者
求職者","終了
",24-yuuki.pdf
1,24_95,"●　野菜ソムリエから教わる！
真庭の野菜教室
野菜ソムリエ体験講座
講師：西川博之（岡山県シニア野菜ソムリエ）",岡山県シニア野菜ソムリエ,http://www.vege-fru.com/,,,①　会場：蒜山振興局,"6/27(水)
13：30-16：00","求職者
就業者
事業主","終了
",24-somutaiken.pdf
1,24_96,"●　野菜ソムリエから教わる！
真庭の野菜教室
野菜ソムリエ体験講座
講師：西川博之（岡山県シニア野菜ソムリエ）",岡山県シニア野菜ソムリエ,http://www.vege-fru.com/,,,②　会場：木材ふれあい会館（勝山）,"6/28(木)
13：30-16：00","求職者
就業者
事業主","終了
",24-somutaiken.pdf
1,24_97,"◆　おかやま晴れの国ぐらし
　　 相談デスク（東京・大阪）　　
住まい、暮らし、就職、就農等の個別相談会
東京会場：東京交通会館
http://www.okayama-inaka.jp/",http://www.okayama-inaka.jp/,http://www.okayama-inaka.jp/,,,,"5/12(土)
12:00-16:00
東京","関心が
ある方","終了
",24-soudan5gatsu.pdf
1,24_98,"◆　おかやま晴れの国ぐらし
　　 相談デスク（東京・大阪）　　
住まい、暮らし、就職、就農等の個別相談会
大阪会場：シティプラザ大阪５F
http://www.okayama-inaka.jp/",http://www.okayama-inaka.jp/,http://www.okayama-inaka.jp/,,,,"5/19（土）
12：00-16：00
大阪","関心が
ある方","終了
",24-soudan5gatsu.pdf
1,24_99,"● 「創業カレッジ2012」
講師：井野口房雄氏（社長室）
会場：真庭商工会",社長室,http://www.shachoshitsu.jp/,,,,"6/23～7/14
毎週土曜
計4回
10：00-17：00","求職者
就業者
事業主","終了
",24-sogyo-s.pdf
1,24_100,"● 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"①　ビジネスマナー
オフィス内での接遇・マナー研修","5/24(木)
13：30-16：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu_2.pdf
1,24_101,"● 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"②　接遇研修
接客業における心構え、ＣＳ（顧客満足）研修","5/28(月)
13：30-16：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu_2.pdf
1,24_102,"● 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"③　電話応対
電話のマナーとクレーム応対研修","6/4(木)
13：30-16：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu_2.pdf
1,24_103,"● 真庭市にもあった神話ロマン！
講師：田中文也氏",,,,,①　会場：蒜山振興局,"5/17(木)
15：30-17：30","求職者
就業者
事業主","終了
",24-kodaishi.pdf
1,24_104,"● 真庭市にもあった神話ロマン！
講師：田中文也氏",,,,,"②　会場：勝山文化センター
※勝山地域についてもお話します。","6/21(木)
14：00-16：00","求職者
就業者
事業主","終了
",24-kodaishi.pdf
1,24_105,"● 真庭市にもあった神話ロマン！
講師：田中文也氏",,,,,"③　会場：久世エスパス
※久世地域についてもお話します。","7/19(木)
14：00-16：00","求職者
就業者
事業主","終了
",24-kodaishi.pdf
1,24_106,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"①　ワード基礎
※ワード基礎は同じ内容です。","5/21（月）
9：30-12：30","求職者
就業者","終了
",24-skill5gatsu.pdf
1,24_107,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"②　ワード基礎
※ワード基礎は同じ内容です。","5/23（水）
13：30-16：30","求職者
就業者","終了
",24-skill5gatsu.pdf
1,24_108,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,③　ワード中級,"5/25(水)
18：30-19：30","求職者
就業者","終了
",24-skill5gatsu.pdf
1,24_109,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"④　エクセル基礎
※エクセル基礎は同じ内容です。
","5/28(月)
9：30-12：30","求職者
就業者","終了
",24-skill5gatsu.pdf
1,24_110,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"⑤　エクセル基礎
※エクセル基礎は同じ内容です。","5/30（水）
13：30-16：30","求職者
就業者","終了
",24-skill5gatsu.pdf
1,24_111,"● 「パソコンスキルアップセミナー」(ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,⑥　エクセル中級,"6/1（金）
18：30-21：30","求職者
就業者","終了
",24-skill5gatsu.pdf
,24_112
