,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル1内リンク文字3,リンク先,タイトル2,タイトル2内リンク文字1,リンク先,タイトル2内リンク文字2,リンク先,開催日,対象,申込受付状況,詳細
1,23_21,"●　地域食材を活用したおもてなし料理講座(蒜山)
講師：有坂翔太氏（フードアーティスト）
会場：八束コミュニティセンター",有坂翔太氏,http://ameblo.jp/shota-arisaka/,,,,,②　おもてなし料理を創る（実践編）,,,,,"2/24(金）
13:00-15:30","求職者
就業者
事業主","終了
",23-hiruzenryouri.pdf
1,23_22,"●　地域資源を活かしたまちづくりセミナー
講師：北川卓氏（フレームデザイン）
会場：なかつい陣屋",フレームデザイン,http://www.framedesign.co.jp/,,,,,,,,,,"12/16(金）
13:30-16:00","事業主
就業者
求職者","終了
",23-hokuboumachi.pdf
1,23_23,"●　<<実践>> 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング） ",キャリアプランニング,http://www.capla.co.jp/,,,,,"①　接遇研修
会場：蒜山ジャージーランド",,,,,"12/8(木）
14:00-16:00","事業主
就業者
求職者","終了
",23-keieisetsuguu.pdf
1,23_24,"●　<<実践>> 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング） ",キャリアプランニング,http://www.capla.co.jp/,,,,,"②　接遇研修
会場：湯原温泉ミュージアム",,,,,"12/15(木)
14:00-16:00","事業主
就業者
求職者","終了
",23-keieisetsuguu.pdf
1,23_25,"●　<<実践>> 接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング） ",キャリアプランニング,http://www.capla.co.jp/,,,,,"③　顧客満足
会場：湯原温泉ミュージアム",,,,,"12/15(木)
11:00-13:00","事業主
就業者
求職者","終了
",23-keieisetsuguu.pdf
1,23_26,"●　特産品販売力向上セミナー
　　 食農連携コーディネーターに学ぶ
会場：真庭市市民活動支援プラザ
講師：伊藤淳子氏（エイアガル） ",伊藤淳子氏,http://ameblo.jp/shibuya1/,,,,,"①　地域ブランドづくり
　　 違う種類との連携（アイデア・モノ）",,,,,"11/29(火)
14:30-17:00","求職者
就業者
事業主","終了
",23-syokunourenkei.pdf
1,23_27,"●　特産品販売力向上セミナー
　　 食農連携コーディネーターに学ぶ
会場：真庭市市民活動支援プラザ
講師：伊藤淳子氏（エイアガル） ",伊藤淳子氏,http://ameblo.jp/shibuya1/,,,,,"②　ネットワークづくり
　　 違う分野との連携（ヒト）",,,,,"12/13(火)
14:30-17:00","求職者
就業者
事業主","終了
",23-syokunourenkei.pdf
1,23_28,"●　特産品販売力向上セミナー
　　 食農連携コーディネーターに学ぶ
会場：真庭市市民活動支援プラザ
講師：伊藤淳子氏（エイアガル） ",伊藤淳子氏,http://ameblo.jp/shibuya1/,,,,,③　広報・プロモーション＝マスコミの利用法,,,,,"1/10(火)
14:30-17:00","求職者
就業者
事業主","終了
",23-syokunourenkei.pdf
1,23_29,"●　ソーシャルメディア活用セミナー
　　（実践）
会場：落合公民館　研修室
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,①　入門編,,,,,"11/24(木)
16:00-18:00","事業主
就業者
求職者","終了
",23-keiei-media-jissen.pdf
1,23_30,"●　ソーシャルメディア活用セミナー
　　（実践）
会場：落合公民館　研修室
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,②　応用編,,,,,"11/24(木)
19:30-21:30","事業主
就業者
求職者","終了
",23-keiei-media-jissen.pdf
1,23_31,"●　地域食材を活用したおもてなし料理講座（北房）
講師：有坂翔太氏（フードアーティスト）
会場：なかつい陣屋",有坂翔太氏,http://ameblo.jp/shota-arisaka/,,,,,①　地域にある食材の生かし方,,,,,"11/11(金）
13:30-16:00","求職者
就業者
事業主","終了
",23-omotenashiryouri.pdf
1,23_32,"●　地域食材を活用したおもてなし料理講座（北房）
講師：有坂翔太氏（フードアーティスト）
会場：なかつい陣屋",有坂翔太氏,http://ameblo.jp/shota-arisaka/,,,,,②　おもてなし料理を創る（実践編）,,,,,"12/9(金）
13:30-16:00","求職者
就業者
事業主","終了
",23-omotenashiryouri.pdf
1,23_33,"●　真庭食材活用セミナー
会場：美甘支局２F",,,,,,,"①　農家女性だけの会社を設立！
 　　　～これまでの歩みと、新たな挑戦～
講師：久保充己氏（いずみの里）
講師：北埜修司氏（禾の人）",いずみの里,http://blog.goo.ne.jp/izumino_sato,禾の人,http://www.kanoto.co.jp/,"11/2(水)
18:00-21:00",事業主,"終了
",23-maniwasyoku.pdf
1,23_34,"●　真庭食材活用セミナー
会場：美甘支局２F",,,,,,,"②　女性の感性を活かした食と農を結ぶ活動
 　　　～自然もすべてが特産品～
講師：山川君江氏（北比良グループ）",北比良グループ,http://www16.ocn.ne.jp/~kitahira/,,,"11/9(水）
18:00-21:00",事業主,"終了
",23-maniwasyoku.pdf
1,23_35,"●　真庭食材活用セミナー
会場：美甘支局２F",,,,,,,"③　そもそもメニュー開発って？
 　　　経営感覚の必要性について
講師：森田さや（料理アトリエKichin)
講師：北埜修司氏（禾の人）",料理アトリエKichin,http://atelier-kichin.com/,禾の人,http://www.kanoto.co.jp/,"11/16(水)
18:00-21:00",事業主,"終了
",23-maniwasyoku.pdf
1,23_36,"●　真庭食材活用セミナー
会場：美甘支局２F",,,,,,,"④　メニュープランニング実習
講師：森田さや（料理アトリエKichin)",料理アトリエKichin,http://atelier-kichin.com/,,,"11/23(水)
18:00-21:00",,,
1,23_37,"●　真庭食材活用セミナー
会場：美甘支局２F",,,,,,,"⑤　実際の調理と試食会、評価
講師：森田さや（料理アトリエKichin)",料理アトリエKichin,http://atelier-kichin.com/,,,"11/30(水）
18:00-21:00",就業者,,
1,23_38,"●　超実践！販促ツール＆営業力強化塾
会場：久世エスパスセンター
講師：渋谷雄大氏（ジャイロ総合コンサルティング）",渋谷雄大氏,http://ameblo.jp/kukkin999/,ジャイロ総合コンサルティング,http://jairo.co.jp/,,,,,,,,"10/17(月)
11:00-17:00","事業主
就業者
求職者","終了
",23-hansokueigyou.pdf
1,23_39,"●　超実践！販促ツール＆営業力強化塾
会場：久世エスパスセンター
講師：渋谷雄大氏（ジャイロ総合コンサルティング）",渋谷雄大氏,http://ameblo.jp/kukkin999/,ジャイロ総合コンサルティング,http://jairo.co.jp/,,,,,,,,"10/24(月)
11:00-17:00","事業主
就業者
求職者","終了
",23-hansokueigyou.pdf
