,CSVID,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル1内リンク文字3,リンク先,タイトル1内リンク文字4,リンク先,タイトル2,タイトル2内リンク文字1,リンク先,タイトル2内リンク文字2,リンク先,開催日,地域,対象,申込受付状況,詳細,詳細リンク先
1,22_1,"●経営支援セミナー
「接遇・おもてなしセミナー」
会場：蒜山ジャージーランド
講師：中川真弓氏
 （キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,,,,,,,,,,"3/7(月)
13:30～17:00",蒜山,"事業主
就業者
求職者",終了,omotenashi-hiruzen.pdf,
1,22_2,"●経営支援セミナー
「B級グルメ先進地に学ぶ」
ご当地B級グルメでまちおこしと
ブランド戦略
会場：休暇村　蒜山高原
講師：渡辺英彦氏
（富士宮やきそば学会会長）",富士宮やきそば学会,http://www.umya-yakisoba.com/,,,,,,,,,,,,"2/28(月)
15:00～17:00",蒜山,"事業主
就業者
求職者",終了,gotouchi.pdf,
1,22_3,"●真庭地区景観形成セミナー
「蒜山地区」「久世地区」「勝山地区」
各地区３部構成でセミナーを行います。
①フィールドワーク　②講義　③ディスカッション",,,,,,,,,"「景観と観光」
観光資源としての景観
会場：蒜山振興局
講師：田邊寛子氏
（まちひとこと総合計画室代表） ",田邊寛子氏,http://d.hatena.ne.jp/hirokoTANABE/,まちひとこと総合計画室,http://www.tanabe-consul.jp/machihitokoto/,"2/16(水)
13:00～16:30",蒜山,"事業主
就業者
求職者",終了,maniwa-keikan.pdf,
1,22_4,"●真庭地区景観形成セミナー
「蒜山地区」「久世地区」「勝山地区」
各地区３部構成でセミナーを行います。
①フィールドワーク　②講義　③ディスカッション",,,,,,,,,"「久世商店街と旧遷喬小学校」
地域資源を活かしたまちづくり
会場：久世エスパス
講師：田邊寛子氏
（まちひとこと総合計画室代表）",田邊寛子氏,http://d.hatena.ne.jp/hirokoTANABE/,まちひとこと総合計画室,http://www.tanabe-consul.jp/machihitokoto/,"2/17(木)
11:00～15:30",久世,"事業主
就業者
求職者",終了,maniwa-keikan.pdf,
1,22_5,"●真庭地区景観形成セミナー
「蒜山地区」「久世地区」「勝山地区」
各地区３部構成でセミナーを行います。
①フィールドワーク　②講義　③ディスカッション",,,,,,,,,"「アートと文化と生活」
景観事業の今後の展開
会場：文化往来館ひしお
講師：秋元雄史氏
（金沢21世紀美術館館長）",金沢21世紀美術館,http://www.kanazawa21.jp/,,,"2/18(金)
13:30～17:00",勝山,"事業主
就業者
求職者",終了,maniwa-keikan.pdf,
1,22_6,"●経営支援セミナー
「事業経営を考える」
会場：蒜山振興局
講師：藤田悠久雄氏",,,,,,,,,,,,,,"2/3(木)
14:00～16:00",蒜山,事業主,終了,keiei-hiruzen.pdf,
1,22_7,"●「ITスキルアップセミナー2011」（中級講座）
会場：勝山文化センター研修室①②③、
 　　　　落合公民館④⑤⑥ 
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,,,①ワード（写真を使ってチラシ作成）,,,,,"2/4(金)
13:30～16:30",勝山,求職者,終了,itskill-2011.pdf,
1,22_8,"●「ITスキルアップセミナー2011」（中級講座）
会場：勝山文化センター研修室①②③、
 　　　　落合公民館④⑤⑥ 
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,,,②エクセル（関数・スケジュール作成）,,,,,"2/8（火）
13:30～16:30",勝山,求職者,終了,itskill-2011.pdf,
1,22_9,"●「ITスキルアップセミナー2011」（中級講座）
会場：勝山文化センター研修室①②③、
 　　　　落合公民館④⑤⑥ 
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,,,③エクセル（表作成と印刷）,,,,,"2/10(木)
13:30～16:30",勝山,求職者,終了,itskill-2011.pdf,
1,22_10,"●「ITスキルアップセミナー2011」（中級講座）
会場：勝山文化センター研修室①②③、
 　　　　落合公民館④⑤⑥ 
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,,,④ワード（表を使って報告書作成）,,,,,"2/9(水)
13:30～16:30",落合,求職者,終了,itskill-2011.pdf,
